calibration_ece_change,calibration_ece_clean,calibration_ece_transformed,class_name,count,failure_count,failure_prevalence_among_clean_correct,family,label_consistency,model,normalized_instability_mean,run,seed,severity,transformed_accuracy,unique_source_count
0.004273915290832499,0.005316071377860121,0.00958998666869262,AnnualCrop,450,3,0.006711409395973154,resolution,0.9866666666666667,resnet50,0.0003209876543209877,resnet50-seed43,43,mild,0.9933333333333333,450
0.3193236525853475,0.004478012455834281,0.3238016650411818,Forest,450,190,0.42410714285714285,resolution,0.5777777777777777,resnet50,0.03715226337448559,resnet50-seed43,43,mild,0.5733333333333334,450
0.03811813089582645,0.019113188319736102,0.05723131921556255,HerbaceousVegetation,450,29,0.06561085972850679,resolution,0.9266666666666666,resnet50,0.004668861454046639,resnet50-seed43,43,mild,0.9222222222222223,450
0.0029969966411589923,0.01749109315872193,0.020488089799880923,Highway,375,6,0.016304347826086956,resolution,0.976,resnet50,0.00011654320987654321,resnet50-seed43,43,mild,0.9706666666666667,375
0.011822041273117036,0.007897854487101215,0.01971989576021825,Industrial,375,6,0.016172506738544475,resolution,0.976,resnet50,9.08641975308642e-05,resnet50-seed43,43,mild,0.976,375
0.07532774696747463,0.022279604077339178,0.0976073510448138,Pasture,300,35,0.11986301369863013,resolution,0.8666666666666667,resnet50,0.0039045267489711934,resnet50-seed43,43,mild,0.8633333333333333,300
0.257155679543813,0.030209025382995656,0.28736470492680866,PermanentCrop,375,129,0.35833333333333334,resolution,0.6453333333333333,resnet50,0.005747489711934156,resnet50-seed43,43,mild,0.6186666666666667,375
0.03434720542695783,0.005347856548097443,0.03969506197505527,Residential,450,32,0.07158836689038031,resolution,0.9288888888888889,resnet50,0.0012071330589849107,resnet50-seed43,43,mild,0.9222222222222223,450
0.011242685397465948,0.008765933593114266,0.020008618990580214,River,375,8,0.021505376344086023,resolution,0.9786666666666667,resnet50,0.0011265843621399178,resnet50-seed43,43,mild,0.9706666666666667,375
-0.003802548911836359,0.00544827792379589,0.0016457290119595313,SeaLake,450,0,0.0,resolution,0.9933333333333333,resnet50,0.03412235939643347,resnet50-seed43,43,mild,1.0,450
0.042377726899253065,0.005316071377860121,0.04769379827711319,AnnualCrop,450,24,0.053691275167785234,resolution,0.94,resnet50,0.011281755829903978,resnet50-seed43,43,moderate,0.9466666666666667,450
0.9448020019796161,0.004478012455834281,0.9492800144354503,Forest,450,448,1.0,resolution,0.0044444444444444444,resnet50,0.8719429355281207,resnet50-seed43,43,moderate,0.0,450
0.5843639653921128,0.019113188319736102,0.6034771537118488,HerbaceousVegetation,450,315,0.7126696832579186,resolution,0.2822222222222222,resnet50,0.22633909465020577,resnet50-seed43,43,moderate,0.2822222222222222,450
0.18508715677261348,0.01749109315872193,0.2025782499313354,Highway,375,97,0.26358695652173914,resolution,0.7253333333333334,resnet50,0.023056460905349796,resnet50-seed43,43,moderate,0.7306666666666667,375
0.21148207489649462,0.007897854487101215,0.21937992938359582,Industrial,375,117,0.31536388140161725,resolution,0.6773333333333333,resnet50,0.023774156378600822,resnet50-seed43,43,moderate,0.6773333333333333,375
0.7313627074162166,0.022279604077339178,0.7536423114935558,Pasture,300,252,0.863013698630137,resolution,0.13666666666666666,resnet50,0.19694156378600824,resnet50-seed43,43,moderate,0.13333333333333333,300
0.9098991834322611,0.030209025382995656,0.9401082088152567,PermanentCrop,375,350,0.9722222222222222,resolution,0.04533333333333334,resnet50,0.33937975308641977,resnet50-seed43,43,moderate,0.029333333333333333,375
0.8784604678551357,0.005347856548097443,0.8838083244032331,Residential,450,445,0.9955257270693513,resolution,0.006666666666666667,resnet50,0.30830068587105625,resnet50-seed43,43,moderate,0.0044444444444444444,450
0.21487015938758844,0.008765933593114266,0.2236360929807027,River,375,111,0.29838709677419356,resolution,0.704,resnet50,0.04134847736625514,resnet50-seed43,43,moderate,0.696,375
-0.005228035317526929,0.00544827792379589,0.00022024260626896108,SeaLake,450,0,0.0,resolution,0.9933333333333333,resnet50,0.06677201646090536,resnet50-seed43,43,moderate,1.0,450
0.6091766381263733,0.005316071377860121,0.6144927095042335,AnnualCrop,450,290,0.6487695749440716,resolution,0.3488888888888889,resnet50,0.19791220850480107,resnet50-seed43,43,severe,0.35333333333333333,450
0.9955215613047282,0.004478012455834281,0.9999995737605625,Forest,450,448,1.0,resolution,0.0022222222222222222,resnet50,0.9823275720164608,resnet50-seed43,43,severe,0.0,450
0.9595792207452986,0.019113188319736102,0.9786924090650346,HerbaceousVegetation,450,442,1.0,resolution,0.0,resnet50,0.9383462277091906,resnet50-seed43,43,severe,0.0,450
0.9213338842391968,0.01749109315872193,0.9388249773979187,Highway,375,368,1.0,resolution,0.0026666666666666666,resnet50,0.6280210699588478,resnet50-seed43,43,severe,0.0,375
0.8890017762184143,0.007897854487101215,0.8968996307055155,Industrial,375,371,1.0,resolution,0.0,resnet50,0.8283911111111111,resnet50-seed43,43,severe,0.0,375
0.9760324217875798,0.022279604077339178,0.998312025864919,Pasture,300,292,1.0,resolution,0.0033333333333333335,resnet50,0.7542,resnet50-seed43,43,severe,0.0,300
0.8983402442932129,0.030209025382995656,0.9285492696762085,PermanentCrop,375,360,1.0,resolution,0.008,resnet50,0.9565155555555556,resnet50-seed43,43,severe,0.0,375
0.9317183152834574,0.005347856548097443,0.9370661718315548,Residential,450,447,1.0,resolution,0.0,resnet50,0.9902644718792867,resnet50-seed43,43,severe,0.0,450
0.9595139071941375,0.008765933593114266,0.9682798407872518,River,375,372,1.0,resolution,0.0,resnet50,0.2878972839506173,resnet50-seed43,43,severe,0.0,375
-0.005443595382902304,0.00544827792379589,4.682540893585774e-06,SeaLake,450,0,0.0,resolution,0.9933333333333333,resnet50,0.07893278463648834,resnet50-seed43,43,severe,1.0,450
0.0019712240166135176,0.005316071377860121,0.007287295394473639,AnnualCrop,450,1,0.0022371364653243847,spectral_appearance,0.9977777777777778,resnet50,0.0,resnet50-seed43,43,mild,0.9911111111111112,450
0.0009755627314249711,0.004478012455834281,0.005453575187259252,Forest,450,1,0.002232142857142857,spectral_appearance,0.9977777777777778,resnet50,0.0,resnet50-seed43,43,mild,0.9933333333333333,450
0.003159610695308984,0.019113188319736102,0.022272799015045086,HerbaceousVegetation,450,9,0.020361990950226245,spectral_appearance,0.9777777777777777,resnet50,0.0,resnet50-seed43,43,mild,0.9644444444444444,450
0.002640379110972077,0.01749109315872193,0.020131472269694008,Highway,375,2,0.005434782608695652,spectral_appearance,0.992,resnet50,0.0,resnet50-seed43,43,mild,0.9786666666666667,375
0.005721406618754048,0.007897854487101215,0.013619261105855263,Industrial,375,1,0.0026954177897574125,spectral_appearance,0.9973333333333333,resnet50,0.0,resnet50-seed43,43,mild,0.9866666666666667,375
0.0005114682515462293,0.022279604077339178,0.022791072328885408,Pasture,300,0,0.0,spectral_appearance,0.9966666666666667,resnet50,0.0,resnet50-seed43,43,mild,0.9733333333333334,300
0.01934114853541049,0.030209025382995656,0.049550173918406146,PermanentCrop,375,11,0.030555555555555555,spectral_appearance,0.9653333333333334,resnet50,3.2921810699588475e-06,resnet50-seed43,43,mild,0.936,375
6.83255990345669e-05,0.005347856548097443,0.00541618214713201,Residential,450,1,0.0022371364653243847,spectral_appearance,0.9955555555555555,resnet50,0.0,resnet50-seed43,43,mild,0.9933333333333333,450
0.0016446651617685083,0.008765933593114266,0.010410598754882774,River,375,0,0.0,spectral_appearance,1.0,resnet50,0.0,resnet50-seed43,43,mild,0.992,375
0.00012003408537973256,0.00544827792379589,0.005568312009175623,SeaLake,450,0,0.0,spectral_appearance,0.9977777777777778,resnet50,0.0,resnet50-seed43,43,mild,0.9955555555555555,450
0.0053383041752709795,0.005316071377860121,0.0106543755531311,AnnualCrop,450,2,0.0044742729306487695,spectral_appearance,0.9955555555555555,resnet50,1.810699588477366e-05,resnet50-seed43,43,moderate,0.9888888888888889,450
0.013930019802517412,0.004478012455834281,0.018408032258351692,Forest,450,7,0.015625,spectral_appearance,0.9844444444444445,resnet50,9.602194787379972e-05,resnet50-seed43,43,moderate,0.98,450
0.015265155235926309,0.019113188319736102,0.03437834355566241,HerbaceousVegetation,450,16,0.03619909502262444,spectral_appearance,0.96,resnet50,0.00011796982167352538,resnet50-seed43,43,moderate,0.9511111111111111,450
0.011114357630411808,0.01749109315872193,0.02860545078913374,Highway,375,9,0.024456521739130436,spectral_appearance,0.9733333333333334,resnet50,9.08641975308642e-05,resnet50-seed43,43,moderate,0.96,375
0.013710623582204115,0.007897854487101215,0.02160847806930533,Industrial,375,3,0.008086253369272238,spectral_appearance,0.992,resnet50,1.0534979423868313e-05,resnet50-seed43,43,moderate,0.9813333333333333,375
